#KO	geneTPM	geneNAME
K07152	354.44	SCO1; protein SCO1
K07154	487.86	hipA; serine/threonine-protein kinase HipA [EC:2.7.11.1]
K12452	61.9933	ascC, ddhC, rfbH; CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]
K07156	40.8796	copC, pcoC; copper resistance protein C
K07157	113.654	K07157; uncharacterized protein
K12454	22.0121	rfbE; CDP-paratose 2-epimerase [EC:5.1.3.10]
K03721	216.976	tyrR; transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport
K03722	650.031	dinG; ATP-dependent DNA helicase DinG [EC:5.6.2.3]
K03723	1173.38	mfd; transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4]
K03724	90.7438	lhr; ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.13 5.6.2.4]
K16345	222.367	xanP; xanthine permease XanP
K16346	4.04304	xanQ; xanthine permease XanQ
K03726	8.08608	helS; ATP-dependent DNA helicase [EC:5.6.2.4]
K21643	8.53531	BBX, HBP2; HMG box transcription factor BBX
K16347	90.2945	ecnA; entericidin A
K16348	90.2945	ecnB; entericidin B
K21645	225.961	hypT, qseD; LysR family transcriptional regulator, hypochlorite-specific transcription factor HypT
K18991	67.384	mtrA; AraC family transcriptional regulator, activator of mtrCDE
K18997	79.5131	cbpM; chaperone modulatory protein CbpM
K02400	518.408	flhA; flagellar biosynthesis protein FlhA
K08482	1.79691	kaiC; circadian clock protein KaiC
K02401	320.748	flhB; flagellar biosynthesis protein FlhB
K08483	539.97	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]
K02402	127.131	flhC; flagellar transcriptional activator FlhC
K08484	10.7814	ptsP; phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]
K02403	146.897	flhD; flagellar transcriptional activator FlhD
K15023	69.6301	acsE; 5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258]
K08485	3.14459	ptsO, npr; phosphocarrier protein NPr
K02404	530.537	flhF; flagellar biosynthesis protein FlhF
K15024	53.0087	K15024; putative phosphotransacetylase [EC:2.3.1.8]
K02405	303.228	fliA, whiG; RNA polymerase sigma factor FliA
K02406	647.336	fliC, hag; flagellin
K02407	505.38	fliD; flagellar hook-associated protein 2
K02408	191.371	fliE; flagellar hook-basal body complex protein FliE
K13786	4.04304	cobR; cob(II)yrinic acid a,c-diamide reductase [EC:1.16.8.-]
K02409	455.965	fliF; flagellar M-ring protein FliF
K13787	1.79691	idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]
K13788	89.3961	pta; phosphate acetyltransferase [EC:2.3.1.8]
K20327	21.5629	xagB; glycosyltransferase XagB
K13789	128.479	GGPS; geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]
K03270	127.58	kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]
K03271	159.026	gmhA, lpcA; D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]
K03272	161.722	gmhC, hldE, waaE, rfaE; D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]
K03273	119.494	gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]
K03274	203.949	gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]
K03275	2.69536	waaO, rfaI; UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]
K17675	170.257	SUPV3L1, SUV3; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]
K03278	2.69536	waaI, rfaI; UDP-D-galactose:(glucosyl)LPS alpha-1,3-D-galactosyltransferase [EC:2.4.1.44]
K21196	67.8332	phnZ; 2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming) [EC:1.13.11.78]
K07160	173.851	pxpA; 5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]
K07164	69.1809	K07164; uncharacterized protein
K07165	597.921	fecR; transmembrane sensor
K07166	39.0827	K07166; ACT domain-containing protein
K07168	66.4855	K07168; CBS domain-containing membrane protein
K07169	84.0054	K07169; FHA domain-containing protein
K03732	8.98453	rhlB; ATP-dependent RNA helicase RhlB [EC:3.6.4.13]
K03733	393.972	xerC; integrase/recombinase XerC
K03734	551.201	apbE; FAD:protein FMN transferase [EC:2.7.1.180]
K03735	105.568	eutB; ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]
K03736	87.15	eutC; ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]
K03737	1119.92	por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]
K03738	341.861	aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
K03739	154.534	dltB; membrane protein involved in D-alanine export
K11142	13.926	LAP3; cytosol aminopeptidase [EC:3.4.11.1 3.4.11.5]
K11145	30.0982	mrnC; mini-ribonuclease III [EC:3.1.26.-]
K02410	265.493	fliG; flagellar motor switch protein FliG
K02411	200.804	fliH; flagellar assembly protein FliH
K02412	321.646	fliI; flagellum-specific ATP synthase [EC:7.4.2.8]
K02413	108.264	fliJ; flagellar protein FliJ
K15034	135.217	yaeJ; ribosome-associated protein
K02414	411.042	fliK; flagellar hook-length control protein FliK
K02415	197.66	fliL; flagellar protein FliL
K02416	292.447	fliM; flagellar motor switch protein FliM
K13794	262.348	tcuR; LysR family transcriptional regulator, regulatory protein for tcuABC
K02417	213.383	fliN; flagellar motor switch protein FliN
K13795	195.414	citB, tcuB; citrate/tricarballylate utilization protein
K02418	66.0363	fliO, fliZ; flagellar protein FliO/FliZ
K13796	243.032	cobZ, tcuA; tricarballylate dehydrogenase
K02419	203.949	fliP; flagellar biosynthesis protein FliP
K13797	8.98453	rpoBC; DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6]
K03280	5.83995	waaK, rfaK; UDP-N-acetylglucosamine:(glucosyl)LPS alpha-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.56]
K17680	73.6732	PEO1; twinkle protein [EC:5.6.2.3]
K03281	400.261	TC.CIC; chloride channel protein, CIC family
K03282	171.605	mscL; large conductance mechanosensitive channel
K06306	48.5165	yaaH; spore germination protein
K06307	61.0948	yfkQ; spore germination protein
K03284	396.667	corA; magnesium transporter
K03285	626.671	TC.GBP; general bacterial porin, GBP family
K11604	60.6456	sitA; manganese/iron transport system substrate-binding protein
K03286	410.593	TC.OOP; OmpA-OmpF porin, OOP family
K17686	1047.6	copA, ctpA, ATP7; P-type Cu+ transporter [EC:7.2.2.8]
K11605	46.7196	sitC; manganese/iron transport system permease protein
K11606	56.6026	sitD; manganese/iron transport system permease protein
K11607	58.8487	sitB; manganese/iron transport system ATP-binding protein
K03289	41.7781	nupG; MFS transporter, NHS family, nucleoside permease
K07171	69.1809	mazF, ndoA, chpA; mRNA interferase MazF [EC:3.1.-.-]
K07172	28.7505	mazE, chpAI; antitoxin MazE
K07173	64.6886	luxS; S-ribosylhomocysteine lyase [EC:4.4.1.21]
K07175	421.375	phoH2; PhoH-like ATPase
K12472	0	EPS15; epidermal growth factor receptor substrate 15
K08956	0	AFG3; AFG3 family protein [EC:3.4.24.-]
K03740	230.453	dltD; D-alanine transfer protein
K03741	207.992	arsC; arsenate reductase (thioredoxin) [EC:1.20.4.4]
K03742	214.73	pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]
K16363	75.4701	lpxC-fabZ; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]
K03743	340.065	pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]
K03744	322.545	lemA; LemA protein
K16365	1.79691	SGTA; small glutamine-rich tetratricopeptide repeat-containing protein alpha
K03745	33.2428	slyX; SlyX protein
K03746	243.481	hns; DNA-binding protein H-NS
K03747	190.921	smg; Smg protein
K03748	19.766	sanA; SanA protein
K03749	156.331	dedD; DedD protein
K07636	749.759	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
K07637	78.1654	phoQ; two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]
K07638	428.562	envZ; two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]
K07639	3.59381	rstB; two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]
K02420	123.987	fliQ; flagellar biosynthesis protein FliQ
K02421	159.026	fliR; flagellar biosynthesis protein FliR
K02422	169.358	fliS; flagellar secretion chaperone FliS
K02423	106.467	fliT; flagellar protein FliT
K02424	238.09	tcyA, tcyJ, fliY; L-cystine transport system substrate-binding protein
K02426	60.6456	sufE; cysteine desulfuration protein SufE
K02427	145.1	rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]
K20344	223.715	blpA, lagD; ATP-binding cassette, subfamily C, bacteriocin exporter
K20345	66.9348	blpB; membrane fusion protein, peptide pheromone/bacteriocin exporter
K02429	328.834	fucP; MFS transporter, FHS family, L-fucose permease
K06310	406.55	yndD; spore germination protein
K06311	129.377	yndE; spore germination protein
K06312	65.1379	yndF; spore germination protein
K06313	91.6422	ypeB; spore germination protein
K03292	337.369	TC.GPH; glycoside/pentoside/hexuronide:cation symporter, GPH family
K03293	205.297	TC.AAT; amino acid transporter, AAT family
K06317	40.8796	bofA; inhibitor of the pro-sigma K processing machinery
K03294	971.228	TC.APA; basic amino acid/polyamine antiporter, APA family
K11614	128.928	yufL, malK; two-component system, CitB family, sensor histidine kinase MalK [EC:2.7.13.3]
K11615	65.5871	malR; two-component system, CitB family, response regulator MalR
K03296	2509.38	TC.HAE1; hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family
K11616	60.1964	maeN; malate:Na+ symporter
K03297	101.525	emrE, qac, mmr, smr; small multidrug resistance pump
K11617	7.18763	liaS; two-component system, NarL family, sensor histidine kinase LiaS [EC:2.7.13.3]
K03298	136.116	TC.DME; drug/metabolite transporter, DME family
K11618	4.04304	liaR; two-component system, NarL family, response regulator LiaR
K03299	239.438	TC.GNTP; gluconate:H+ symporter, GntP family
K07180	658.117	prkA; serine protein kinase
K08961	229.106	K08961; chondroitin-sulfate-ABC endolyase/exolyase [EC:4.2.2.20 4.2.2.21]
K07182	0	K07182; CBS domain-containing protein
K01101	34.1412	E3.1.3.41; 4-nitrophenyl phosphatase [EC:3.1.3.41]
K08963	62.4425	mtnA; methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
K07183	106.467	nasT; two-component system, response regulator / RNA-binding antiterminator
K08965	19.3167	mtnW; 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [EC:5.3.2.5]
K01104	427.664	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]
K08966	1.79691	mtnX; 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase [EC:3.1.3.87]
K15505	14.8245	RAD5; DNA repair protein RAD5 [EC:5.6.2.-]
K08968	238.09	msrC; L-methionine (R)-S-oxide reductase [EC:1.8.4.14]
K08969	27.852	mtnE, mtnV; L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase [EC:2.6.1.117]
K15509	54.8056	hpsN; sulfopropanediol 3-dehydrogenase [EC:1.1.1.308]
K20807	52.5595	nthB; nitrile hydratase subunit beta [EC:4.2.1.84]
K16370	2.24613	pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
K03750	689.563	moeA; molybdopterin molybdotransferase [EC:2.10.1.1]
K16371	3.59381	gatZ-kbaZ; D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ
K03752	225.512	mobA; molybdenum cofactor guanylyltransferase [EC:2.7.7.77]
K03753	144.651	mobB; molybdopterin-guanine dinucleotide biosynthesis adapter protein
K03755	12.5783	adiY; AraC family transcriptional regulator, transcriptional activator of adiA
K21672	52.5595	ord; 2,4-diaminopentanoate dehydrogenase [EC:1.4.1.12 1.4.1.26]
K03757	9.43376	cadB; cadaverine:lysine antiporter
K03758	139.26	arcD, lysl, lysP; arginine:ornithine antiporter / lysine permease
K03759	4.94149	adiC; arginine:agmatine antiporter
K21677	131.174	hpnE; hydroxysqualene dehydroxylase [EC:1.17.8.1]
K07640	2.24613	cpxA; two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]
K07641	6.28917	creC; two-component system, OmpR family, sensor histidine kinase CreC [EC:2.7.13.3]
K07642	2.24613	baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]
K12940	19.3167	abgA; aminobenzoyl-glutamate utilization protein A
K07644	377.35	cusS, copS, silS; two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]
K12941	7.18763	abgB; aminobenzoyl-glutamate utilization protein B
K07645	19.766	qseC; two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]
K12942	154.085	abgT; aminobenzoyl-glutamate transport protein
K07646	475.282	kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]
K07647	8.08608	torS; two-component system, OmpR family, sensor histidine kinase TorS [EC:2.7.13.3]
K12943	24.2582	ygeR; lipoprotein YgeR
K07648	1.79691	arcB; two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]
K12944	11.6799	nudI; nucleoside triphosphatase [EC:3.6.1.-]
K07649	1083.53	tctE; two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]
K02430	4.04304	fucR; DeoR family transcriptional regulator, L-fucose operon activator
K15051	4.04304	endA; DNA-entry nuclease
K02433	1279.85	gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
K15054	5.83995	mdlB; (S)-mandelate dehydrogenase [EC:1.1.99.31]
K02434	574.561	gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
K02435	218.324	gatC, GATC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]
K02436	1.79691	gatR; DeoR family transcriptional regulator, galactitol utilization operon repressor
K02437	217.426	gcvH, GCSH; glycine cleavage system H protein
K02438	7.63685	glgX; glycogen debranching enzyme [EC:3.2.1.196]
K02439	8.53531	glpE; thiosulfate sulfurtransferase [EC:2.8.1.1]
K06320	13.4768	cgeB; spore maturation protein CgeB
K06324	2.69536	cotA; spore coat protein A, manganese oxidase [EC:1.16.3.3]
K11621	17.9691	liaG; lia operon protein LiaG
K11623	107.365	ydfH; two-component system, NarL family, sensor histidine kinase YdfH [EC:2.7.13.3]
K11625	26.0551	ydfJ; membrane protein YdfJ
K11629	114.553	bceS; two-component system, OmpR family, bacitracin resistance sensor histidine kinase BceS [EC:2.7.13.3]
K08970	48.9657	rcnA; nickel/cobalt transporter (NicO) family protein
K08972	127.131	K08972; putative membrane protein
K07192	250.668	FLOT; flotillin
K15511	142.854	boxA; benzoyl-CoA 2,3-epoxidase subunit A [EC:1.14.13.208]
K08973	174.749	hemJ; protoporphyrinogen IX oxidase [EC:1.3.99.-]
K15512	137.014	boxB; benzoyl-CoA 2,3-epoxidase subunit B [EC:1.14.13.208]
K01113	29.649	phoD; alkaline phosphatase D [EC:3.1.3.1]
K08974	88.9469	K08974; putative membrane protein
K15513	183.734	boxC; benzoyl-CoA-dihydrodiol lyase [EC:4.1.2.44]
K20810	103.322	mqnX; aminodeoxyfutalosine deaminase [EC:3.5.4.40]
K01114	306.373	plc; phospholipase C [EC:3.1.4.3]
K15514	152.288	boxD; 3,4-dehydroadipyl-CoA semialdehyde dehydrogenase [EC:1.2.1.77]
K01115	1.79691	PLD1_2; phospholipase D1/2 [EC:3.1.4.4]
K08978	115.9	TC.BAT1; bacterial/archaeal transporter family protein
K20814	1.79691	dop; Pup amidohydrolase [EC:3.5.1.119]
K01118	247.973	acpD, azoR; FMN-dependent NADH-azoreductase [EC:1.7.1.17]
K01119	342.311	cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]
K20817	44.4734	E3.5.1.83; N-acyl-D-aspartate deacylase [EC:3.5.1.83]
K03760	22.4613	eptA, pmrC; lipid A ethanolaminephosphotransferase [EC:2.7.8.43]
K03761	82.2085	kgtP; MFS transporter, MHS family, alpha-ketoglutarate permease
K03762	202.601	proP; MFS transporter, MHS family, proline/betaine transporter
K03763	605.108	polC; DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]
K03765	1.79691	cadC; transcriptional activator of cad operon
K21681	56.6026	bcs1; ribitol-5-phosphate 2-dehydrogenase (NADP+) / D-ribitol-5-phosphate cytidylyltransferase [EC:1.1.1.405 2.7.7.40]
K03767	2.24613	PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]
K03768	329.732	PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]
K03769	435.75	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
K21688	3.59381	rpfB; resuscitation-promoting factor RpfB
K07650	66.0363	cssS; two-component system, OmpR family, sensor histidine kinase CssS [EC:2.7.13.3]
K07651	48.9657	resE; two-component system, OmpR family, sensor histidine kinase ResE [EC:2.7.13.3]
K07652	130.276	vicK; two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]
K12950	172.952	ctpC; manganese-transporting P-type ATPase C [EC:7.2.2.22]
K12952	160.823	ctpE; cation-transporting P-type ATPase E [EC:7.2.2.-]
K07657	170.706	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
K07658	168.46	phoB1, phoP; two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP
K12955	5.39072	ctpI; cation-transporting P-type ATPase I [EC:7.2.2.-]
K11175	316.256	purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
K07659	403.405	ompR; two-component system, OmpR family, phosphate regulon response regulator OmpR
K12957	74.5716	ahr; alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]
K11177	47.618	yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]
K11178	45.8211	yagS; xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4]
K16840	8.08608	hpxQ; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]
K02440	69.1809	GLPF; glycerol uptake facilitator protein
K02443	118.147	glpP; glycerol uptake operon antiterminator
K16843	96.1345	slcC; (S)-sulfolactate dehydrogenase [EC:1.1.1.310]
K02444	219.672	glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor
K16844	169.808	comC; (2R)-3-sulfolactate dehydrogenase (NADP+) [EC:1.1.1.338]
K02445	128.479	glpT; MFS transporter, OPA family, glycerol-3-phosphate transporter
K16845	45.3719	suyA; (2R)-sulfolactate sulfo-lyase subunit alpha [EC:4.4.1.24]
K02446	162.171	glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]
K16846	276.274	suyB; (2R)-sulfolactate sulfo-lyase subunit beta [EC:4.4.1.24]
K02448	120.393	norD; nitric oxide reductase NorD protein
K16849	26.5044	uxaA1; altronate dehydratase small subunit [EC:4.2.1.7]
K06330	40.4304	cotH; spore coat protein H
K06331	98.3806	cotI; spore coat protein I
K06333	29.649	cotJB; spore coat protein JB
K06334	82.2085	cotJC; spore coat protein JC
K11630	38.6335	bceR; two-component system, OmpR family, bacitracin resistance response regulator BceR
K11631	87.5992	bceA, vraD; bacitracin transport system ATP-binding protein
K11632	262.798	bceB, vraE; bacitracin transport system permease protein
K06337	152.288	cotS; spore coat-associated protein S
K06338	61.9933	cotSA; spore coat protein SA
K11635	12.5783	yxdL; putative ABC transport system ATP-binding protein
K11636	151.389	yxdM; putative ABC transport system permease protein
K11637	6.7384	citS; two-component system, CitB family, sensor histidine kinase CitS [EC:2.7.13.3]
K15520	18.8675	mshD; mycothiol synthase [EC:2.3.1.189]
K01120	2.69536	cpdP; 3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17]
K08981	28.3013	K08981; putative membrane protein
K08982	42.2273	K08982; putative membrane protein
K08983	139.26	K08983; putative membrane protein
K02902	162.171	RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28
K08984	209.34	yjdF; putative membrane protein
K15524	57.0518	mngB; 2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate hydrolase [EC:3.2.1.-]
K02904	56.1533	RP-L29, rpmC; large subunit ribosomal protein L29
K08986	58.3995	ycgQ; putative membrane protein
K02906	211.586	RP-L3, MRPL3, rplC; large subunit ribosomal protein L3
K01126	570.967	E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]
K08988	6.28917	K08988; putative membrane protein
K15527	4.49227	K15527; cysteate synthase [EC:2.5.1.76]
K02907	106.916	RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30
K01128	19.3167	SMPDL3; sphingomyelin phosphodiesterase acid-like 3 [EC:3.1.4.-]
K02909	239.887	RP-L31, rpmE; large subunit ribosomal protein L31
K01129	396.667	dgt; dGTPase [EC:3.1.5.1]
K19405	85.3531	mcsB; protein arginine kinase [EC:2.7.14.1]
K20829	13.0276	celS; cellulose 1,4-beta-cellobiosidase [EC:3.2.1.176]
K03770	414.187	ppiD; peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]
K03771	517.509	surA; peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]
K03772	135.217	fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
K03773	164.417	fklB; FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]
K03774	58.3995	slpA; FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]
K03775	48.0672	slyD; FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]
K03776	1220.1	aer; aerotaxis receptor
K03777	699.895	dld; D-lactate dehydrogenase (quinone) [EC:1.1.5.12]
K03778	324.342	ldhA; D-lactate dehydrogenase [EC:1.1.1.28]
K03779	82.6577	ttdA; L(+)-tartrate dehydratase alpha subunit [EC:4.2.1.32]
K07661	9.43376	rstA; two-component system, OmpR family, response regulator RstA
